Country/Region,unit,2016,2017,2018,2019,2020,2021
Slovakia,MtCO2e,30.43,32.51,31.94,30.01,29.91,26.73
Burkina Faso,MtCO2e,27.8,28.37,28.77,29.11,29.4,29.43
Lebanon,MtCO2e,27.73,29.24,27.71,27.87,29.633549,32.0612
Laos,MtCO2e,24.37,27.72,28.03,27.38,27.422942,27.912942
Mongolia,MtCO2e,21.29,22.67,24.64,26.17,26.844706,28.259412
Tunisia,MtCO2e,25.82,26.17,26.1,26.12,26.62,26.67
Syria,MtCO2e,26.35,29.34,27.39,25.72,25.838311,22.543532
Sri Lanka,MtCO2e,23.85,25.27,23.6,25.69,24.9,24.38
Dominican Republic,MtCO2e,23.04,21.99,23.75,25.68,26.464598,27.958652
Chad,MtCO2e,25.54,25.48,25.52,25.58,25.648284,26.115125
Nicaragua,MtCO2e,24.89,24.99,24.63,24.75,24.55,24.44
Jordan,MtCO2e,24.82,26.15,24.78,24.63,23.55,24.2
New Zealand,MtCO2e,20.57,22.31,21.74,23.39,24.434518,25.442989
Cuba,MtCO2e,24.13,23.19,23.66,22.86,20.042259,19.006758
Guatemala,MtCO2e,20.76,19.84,21.59,22.58,21.41,22.02
Uganda,MtCO2e,20.78,21,21.68,21.68,21.922941,22.425882
Bosnia and Herzegovina,MtCO2e,20.61,20.94,20.86,19.33,21.21,21.03
Sweden,MtCO2e,22.13,21.72,19.7,18.69,23.70686,17.642097
Somalia,MtCO2e,18.01,18.01,18.01,18.05,18.037558,18.033358
Benin,MtCO2e,17.45,17.58,18.13,18.01,18.59116,18.870295
Panama,MtCO2e,15.17,14.53,14.46,17.74,17.56,18.96
Republic of Congo,MtCO2e,15.91,15.85,16.96,17.73,18.735012,19.510298
Trinidad and Tobago,MtCO2e,18.44,18.37,17.9,17.31,17.608476,16.628476
Norway,MtCO2e,19.81,18.77,18.67,17.02,16.14,16.71
Guyana,MtCO2e,16.56,16.55,16.67,16.92,17.225901,17.443838
Nepal,MtCO2e,13.37,15.43,18.14,16.39,17.77,19.73
Guinea,MtCO2e,15.04,15.56,15.98,16.18,16.265952,16.400033
Honduras,MtCO2e,14.99,14.79,15.57,15.74,15.784564,15.622498
Senegal,MtCO2e,14.46,14.13,14.51,14.95,15.127191,15.404298
Namibia,MtCO2e,14.69,14.83,14.79,14.78,15.11,15.18
Kenya,MtCO2e,11.49,11.36,9.87,14.66,15.2,17
Liberia,MtCO2e,14.85,14.72,14.56,14.62,14.52,14.52
Madagascar,MtCO2e,13.29,13.58,13.47,14.24,14.180419,14.259791
Central African Republic,MtCO2e,14.19,14.21,14.21,14.22,14.16,14.16
Slovenia,MtCO2e,14.25,14.47,14.42,13.94,15.220261,11.47109
Croatia,MtCO2e,12.53,13.06,12.09,12.18,11.03,9.61
Estonia,MtCO2e,17.93,18.64,17.28,12.13,10.55,7.21
Suriname,MtCO2e,12.31,11.86,11.57,12.01,12.014921,11.969843
Gabon,MtCO2e,12.87,11.79,11.59,11.71,12.257382,12.045248
Lithuania,MtCO2e,10.59,10.6,11.02,11.1,10.95,9.56
Yemen,MtCO2e,10.85,10.01,9.72,11.1,12.05,14.4
South Sudan,MtCO2e,10.67,10.44,10.45,10.6,10.67,10.73
Georgia,MtCO2e,9.65,9.73,9.57,10.11,9.32,10.11
Malawi,MtCO2e,9.27,9.33,9.53,9.6,9.74,9.75
Tajikistan,MtCO2e,5.97,7.24,8.55,9.29,8.698196,7.223108
Luxembourg,MtCO2e,8.58,8.72,9.04,9.21,9.515956,8.935956
Equatorial Guinea,MtCO2e,10.49,9.63,10.26,9.18,8.721307,8.401739
Moldova,MtCO2e,8.25,8.17,8.65,8.97,9.133324,8.77025
El Salvador,MtCO2e,8.25,7.46,7.89,8.88,7.960587,7.531174
Jamaica,MtCO2e,7.75,7.4,8.79,8.57,6.17,4.43
Macedonia,MtCO2e,7.3,7.79,7.3,8.3,9.081882,8.312992
Brunei,MtCO2e,7.34,7.61,7.87,7.32,7.584601,7.877563
Cyprus,MtCO2e,6.97,7.11,6.95,6.94,7.041879,6.84837
Kyrgyzstan,MtCO2e,6.43,6.16,7.98,6.78,6.464866,4.933425
Afghanistan,MtCO2e,5.46,4.94,6.22,6.23,7.66487,8.773595
Armenia,MtCO2e,5.1,5.41,5.75,6.21,6.442362,5.262362
Belize,MtCO2e,5.88,5.88,5.87,5.88,5.84,6.82
Mali,MtCO2e,4.67,5.18,5.47,5.83,5.84,6.27
Bulgaria,MtCO2e,7.78,10.08,7.09,5.34,2.77,-4.36
Latvia,MtCO2e,4.37,4.33,5.01,4.79,6.785642,8.295288
Uruguay,MtCO2e,4.76,4.34,4.78,4.72,6.62,6.53
Albania,MtCO2e,4.24,4.91,4.87,4.59,4.432008,4.562008
Sierra Leone,MtCO2e,4.28,4.29,4.2,4.24,4.23017,4.23017
Burundi,MtCO2e,3.94,4.02,4.16,4.2,4.2,4.19
Mauritius,MtCO2e,4.01,4.15,4.11,4.15,4.22,4.18
Haiti,MtCO2e,4,3.96,3.92,3.95,3.94,3.9
Niger,MtCO2e,3.35,3.16,3.2,3.39,3.44,3.66
Togo,MtCO2e,3.11,2.88,3.12,3.18,3.537506,3.077551
Rwanda,MtCO2e,2.84,2.86,2.94,2.99,2.97,3
Mauritania,MtCO2e,2.18,2.4,2.6,2.87,2.839498,3.289498
Bahamas,MtCO2e,2.04,2.17,2.8,2.84,2.853554,10.857152
Montenegro,MtCO2e,2.18,2.3,2.53,2.63,3.725882,3.291765
Maldives,MtCO2e,1.76,1.86,2.1,2.11,2.194429,2.247999
Guinea-Bissau,MtCO2e,1.79,1.79,1.8,1.82,1.820519,1.848966
Malta,MtCO2e,1.35,1.52,1.55,1.65,1.65,1.44
Iceland,MtCO2e,1.55,1.59,1.61,1.55,1.35,1.27
Eritrea,MtCO2e,1.11,1.17,1.3,1.32,1.263584,1.299736
Barbados,MtCO2e,1.29,1.17,1.23,1.25,1.543872,4.383921
Gambia,MtCO2e,1.06,1.07,1.08,1.11,1.13,1.19
Timor-Leste,MtCO2e,1.06,1.08,1.08,1.08,1.08,1.11
Costa Rica,MtCO2e,0.79,0.96,1.07,0.94,0.663749,0.628224
Eswatini,MtCO2e,0.72,0.76,0.79,0.84,0.690622,0.811784
Lesotho,MtCO2e,0.69,0.7,0.73,0.77,0.798506,0.844609
Seychelles,MtCO2e,0.58,0.58,0.58,0.61,0.63,0.66
Cape Verde,MtCO2e,0.48,0.52,0.55,0.58,0.59,0.63
Antigua and Barbuda,MtCO2e,0.5,0.5,0.51,0.52,0.531581,0.5447
Andorra,MtCO2e,0.47,0.47,0.49,0.5,0.515923,0.530829
Djibouti,MtCO2e,0.42,0.42,0.4,0.42,0.407028,0.431586
Samoa,MtCO2e,0.4,0.41,0.4,0.4,0.37,0.37
Saint Lucia,MtCO2e,0.36,0.39,0.38,0.39,0.416724,1.27526
Comoros,MtCO2e,0.28,0.34,0.36,0.38,0.404158,0.43285
Sao Tome and Principe,MtCO2e,0.34,0.35,0.35,0.36,0.37,0.37
Grenada,MtCO2e,0.28,0.29,0.32,0.33,0.336358,0.350135
Saint Vincent and the Grenadines,MtCO2e,0.26,0.23,0.25,0.26,0.239298,0.883731
Palau,MtCO2e,0.25,0.26,0.25,0.25,0.22,0.21
Saint Kitts and Nevis,MtCO2e,0.24,0.24,0.25,0.25,0.253501,0.266093
Vanuatu,MtCO2e,0.18,0.17,0.21,0.21,0.266442,0.263625
Marshall Islands,MtCO2e,0.18,0.18,0.18,0.18,0.17,0.18
Tonga,MtCO2e,0.15,0.18,0.16,0.16,0.154307,0.164307
Dominica,MtCO2e,0.17,0.15,0.15,0.15,0.123798,0.144477
Liechtenstein,MtCO2e,0.15,0.16,0.14,0.15,0.15597,0.157015
Micronesia,MtCO2e,0.14,0.14,0.14,0.14,0.135302,0.14773
Cook Islands,MtCO2e,0.08,0.09,0.09,0.09,0.089813,0.089813
Kiribati,MtCO2e,0.07,0.09,0.09,0.09,0.09,0.09
Nauru,MtCO2e,0.06,0.07,0.06,0.06,0.060538,0.066076
Tuvalu,MtCO2e,0.01,0.01,0.01,0.01,0,0
Niue,MtCO2e,0,0,0,0,-0.28,-0.26
Bhutan,MtCO2e,-0.39,-0.35,-0.27,-0.26,-0.887045,-0.904987
Fiji,MtCO2e,-1.02,-0.89,-0.92,-0.91,,
Ghana,MtCO2e,-8.86,-7.91,-6.25,-4.88,,
Data source,Climate Watch,,,,,,
Data for,Location: World. Sectors/Subsectors: Total including LUCF. Gases: CO2. Calculation: Total. Show data by Countries,,,,,,
